time,result
2025-04-19 00:25:02,lose
2025-04-19 00:26:02,win
2025-04-19 00:27:02,win
2025-04-19 00:28:02,draw
2025-04-19 00:29:02,win
2025-04-19 00:30:02,lose
2025-04-19 00:45:02,win
2025-04-19 00:46:02,win
2025-04-19 00:47:02,draw
2025-04-19 00:48:02,win
2025-04-19 00:49:02,lose
2025-04-19 00:50:02,lose
2025-04-19 00:51:02,lose
2025-04-19 00:55:02,win
2025-04-19 00:56:02,win
2025-04-19 00:57:02,win
2025-04-19 01:00:02,win
2025-04-19 01:04:02,win
2025-04-19 01:09:02,lose
2025-04-19 01:10:02,win
